id,name, facebook, twitter, website, genre, mtv
1672, Heather Headley ,http://www.facebook.com/34333402598,http://www.twitter.com/heatherheadley,http://www.heatherheadley.com/,Soul,http://www.mtv.com/artists/heather-headley/biography
1673, Helloween ,http://www.facebook.com/75052548906,http://www.twitter.com/helloweenorg,http://www.helloween.org/,Metal,http://www.mtv.com/artists/helloween/biography
1674, Hezekiah Walker ,,,,R&B/Soul,http://www.mtv.com/artists/hezekiah-walker/biography
1675, Hole ,http://www.facebook.com/209484152041,http://www.twitter.com/holerock,http://holemusic.com/,Rock,http://www.mtv.com/artists/hole/biography
1676, Highwaymen ,,,,Country,http://www.cmt.com/artists/highwaymen-country-00/biography
1677, Honi Deaton ,,,,Country,http://www.cmt.com/artists/honi-deaton/biography
1678, Hootie & the Blowfish ,,,http://www.hootie.com/,Rock,http://www.mtv.com/artists/hootie-the-blowfish/biography
1679, House of Pain ,http://www.facebook.com/112463218771913,http://www.twitter.com/houseofpain1,,Hip-Hop/Rap,http://www.mtv.com/artists/house-of-pain/biography
1680, Hollywood Holt ,http://www.facebook.com/85199705095,http://www.twitter.com/hollywoodholt,,Rock,http://www.mtv.com/artists/hollywood-holt/biography
1681, Hollywood Porn Stars ,,,,,http://www.mtv.com/artists/hollywood-porn-stars/biography
1682, Jackie Evancho ,http://www.facebook.com/jackieevancho,http://twitter.com/jackieevancho,,Rock,http://www.mtv.com/artists/jackie-evancho/biography
1683, Imran Khan ,,,http://www.reverbnation.com/imrankhan7,Folk-Rock,http://www.mtv.com/artists/imran-khan/biography
1684, Insane Clown Posse ,http://www.facebook.com/112674268804277,http://www.twitter.com/icp,http://www.insaneclownposse.com/,Rock,http://www.mtv.com/artists/insane-clown-posse/biography
1685, Irv Gotti ,,,,Hip-Hop,http://www.mtv.com/artists/irv-gotti/biography
1686, James Eubanks ,,,,,http://www.cmt.com/artists/james-eubanks/biography
1687, James Ingram ,,,,Soul,http://www.mtv.com/artists/james-ingram-00/biography
1688, James ,,,http://www.jamestheband.com/,Alternative,http://www.mtv.com/artists/james-05/biography
1689, Jagged Edge ,http://www.facebook.com/122712816720,http://www.twitter.com/official_je,http://www.jeheartbreak.com,R&B/Soul,http://www.mtv.com/artists/jagged-edge/biography
1690, Jawga Boyz ,,,,Country,http://www.cmt.com/artists/jawga-boyz/biography
1691, Jason Isbell ,,http://www.twitter.com/jasonisbell,http://www.jasonisbell.com,Americana,http://www.cmt.com/artists/jason-isbell/biography
1692, JB and the Moonshine Band ,http://www.facebook.com/143783775656029,http://www.twitter.com/moonshineband,http://www.JBandtheMoonshineBand.com,Alternative Country,http://www.cmt.com/artists/jb-and-the-moonshine-band/biography
1693, Kyle Jennings ,,,,,http://www.cmt.com/artists/kyle-jennings/biography
1694, Jim Shearer ,,,,,http://www.mtv.com/artists/jim-shearer/biography
1695, Jerry Lee Lewis ,http://www.facebook.com/672830769450301,http://www.twitter.com/jerry_lee_lewis,http://www.jerryleelewis.com,Rock,http://www.mtv.com/artists/jerry-lee-lewis/biography
1696, Jesse Colin Young ,http://www.facebook.com/141157452631551,http://www.twitter.com/jessecolinyoung,,Pop,http://www.mtv.com/artists/jesse-colin-young/biography
1697, Jimi James ,,,,,http://www.mtv.com/artists/jimi-james/biography
1698, Jimmy Dean ,,,,Country,http://www.cmt.com/artists/jimmy-dean/biography
1699, J.F. Jenny-Clark ,,,,,http://www.mtv.com/artists/jf-jenny-clark-00/biography
1700, Joan Jett ,http://www.facebook.com/176116869113953,http://www.twitter.com/joanjett,http://www.joanjett.com/,Rock,http://www.mtv.com/artists/joan-jett/biography
1701, Job for a Cowboy ,http://www.facebook.com/6140939709,http://www.twitter.com/jfacmetal,,Metal,http://www.mtv.com/artists/job-for-a-cowboy/biography
1702, Joe LoDuca ,,,,Jazz,http://www.mtv.com/artists/joe-loduca/biography
1703, John Lennon ,http://www.facebook.com/135388936479828,,http://www.miramax-aharddaysnight.com/,Rock,http://www.mtv.com/artists/john-lennon/biography
1704, Johnny Paycheck ,http://www.facebook.com/59555781906,,,Country,http://www.cmt.com/artists/johnny-paycheck/biography
1705, Johnny Rivera ,,,,World/International,http://www.mtv.com/artists/johnny-rivera-00/biography
1706, Johnny Rivers ,,,,Pop,http://www.mtv.com/artists/johnny-rivers/biography
1707, Jordin Sparks ,http://www.facebook.com/5140414979,http://www.twitter.com/jordinsparks,,R&B,http://www.mtv.com/artists/jordin-sparks/biography
1708, Jonathan Butler ,http://www.facebook.com/105374946169347,http://www.twitter.com/jbutlerguitar,,Jazz,http://www.mtv.com/artists/jonathan-butler/biography
1709, Joni Mitchell ,http://www.facebook.com/311982632435,http://www.twitter.com/jonimitchellcom,http://www.jonimitchell.com/,Blues/Folk,http://www.mtv.com/artists/joni-mitchell/biography
1710, Justin McBride ,,,,,http://www.cmt.com/artists/justin-mcbride/biography
1711, Juice Newton ,,,http://www.juicenewton.com/,Country,http://www.cmt.com/artists/juice-newton/biography
1712, Joy Division ,http://www.facebook.com/122660121101711,,,Rock,http://www.mtv.com/artists/joy-division/biography
1713, Juan Gabriel ,http://www.facebook.com/144212762336456,,,World/International,http://www.mtv.com/artists/juan-gabriel/biography
1714, Josh Groban ,http://www.facebook.com/5862253001,http://www.twitter.com/joshgroban,http://joshgroban.com,Modern Composition,http://www.mtv.com/artists/josh-groban/biography
1715, Julian Casablancas ,http://www.facebook.com/116094676413,http://www.twitter.com/casablancas_j,http://www.juliancasablancas.com/,Alternative,http://www.mtv.com/artists/julian-casablancas/biography
1716, Juliette and the Licks ,http://www.facebook.com/10795633621,,http://www.julietteandthelicks.com/,Rock,http://www.mtv.com/artists/juliette-and-the-licks/biography
1717, Justino Delgado ,,,,,http://www.mtv.com/artists/justino-delgado/biography
1718, Judas Priest ,http://www.facebook.com/12853613964,http://www.twitter.com/judaspriest,http://judaspriest.com/,Metal,http://www.mtv.com/artists/judas-priest/biography
1719, Kathleen Edwards ,http://www.facebook.com/21357031304,http://www.twitter.com/kittythefool,http://www.kathleen-edwards.com/,Blues/Folk,http://www.cmt.com/artists/kathleen-edwards/biography
1720, Kalpana ,,,,,http://www.mtv.com/artists/kalpana/biography
1721, Kajagoogoo ,,,http://www.kajagoogoo.com/,Alternative,http://www.mtv.com/artists/kajagoogoo/biography
1722, Kala Ramnath ,,,,,http://www.mtv.com/artists/kala-ramnath/biography
1723, Kassidy ,http://www.facebook.com/94028225352,http://www.twitter.com/kassidyuk,,Rock,http://www.mtv.com/artists/kassidy/biography
1724, Keke Wyatt ,https://www.facebook.com/KekeWyattSingsMusic,,,R&B/Soul,http://www.mtv.com/artists/keke-wyatt/biography
1725, Keith Emerson ,http://www.facebook.com/121269690960,,,Rock,http://www.mtv.com/artists/keith-emerson/biography
1726, Keak da Sneak ,,,,Hip-Hop,http://www.mtv.com/artists/keak-da-sneak/biography
1727, Kevin Rudolf ,http://www.facebook.com/45664001840,http://www.twitter.com/kevinrudolf,,Pop,http://www.mtv.com/artists/kevin-rudolf/biography
1728, Kirko Bangz ,,,,,http://www.mtv.com/artists/kirko-bangz/biography
1729, Killswitch Engage ,http://www.facebook.com/7318341580,http://www.twitter.com/kseofficial,,Metal,http://www.mtv.com/artists/killswitch-engage/biography
1730, Kim Wilde ,http://www.facebook.com/17628368217,http://www.twitter.com/kimwilde,http://www.kimwilde.com/en/biography.html,Pop,http://www.mtv.com/artists/kim-wilde/biography
1731, King Harvest ,,http://twitter.com/kingharvestditm,http://www.reverbnation.com/kingharvest,Pop/Rock,http://www.mtv.com/artists/king-harvest/biography
1732, KMFDM ,http://www.facebook.com/269147047657,http://www.twitter.com/kmfdmofficial,http://www.KMFDM.NET,Rock,http://www.mtv.com/artists/kmfdm/biography
1733, Laurianne Fiorentino ,,,,,http://www.mtv.com/artists/laurianne-fiorentino/biography
1734, Lee Greenwood ,http://www.facebook.com/396952333702970,http://www.twitter.com/theleegreenwood,http://www.leegreenwood.com,Country,http://www.cmt.com/artists/lee-greenwood/biography
1735, Lee Roy Parnell ,http://www.facebook.com/75799170885,http://www.twitter.com/lrpofficial,http://www.delafont.com/music_acts/Lee-Roy-Parnell.htm,Country,http://www.cmt.com/artists/lee-roy-parnell/biography
1736, Lianne La Havas ,http://www.facebook.com/154893241236331,http://www.twitter.com/liannelahavas,http://www.liannelahavas.com/,Alternative,http://www.mtv.com/artists/lianne-la-havas/biography
1737, Lewis Black ,,,,Comedy/Spoken Word,http://www.mtv.com/artists/lewis-black/biography
1738, Linda Ronstadt ,http://www.facebook.com/510515355653101,,,Rock,http://www.mtv.com/artists/linda-ronstadt/biography
